# Geodesic pattern 24 class 2 npts 17282 area_per_point= 2.3870 
# From geodesic_tiling_pattern_npts17282.txt
# http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# As adopted by BLISS and DeCALS
# RA            DEC
270.000000   58.282526
270.000000  -58.282526
 90.000000   58.282526
 90.000000  -58.282526
238.282526    0.000000
121.717474    0.000000
301.717474    0.000000
 58.282526    0.000000
180.000000   31.717474
180.000000  -31.717474
360.000000   31.717474
360.000000  -31.717474
270.000000   60.925649
270.000000   63.568771
270.000000   66.211894
270.000000   68.855017
270.000000   71.498140
270.000000   74.141263
270.000000   76.784386
270.000000   79.427509
270.000000   82.070631
270.000000   84.713754
270.000000   87.356877
180.000000   90.000000
 90.000000   87.356877
 90.000000   84.713754
 90.000000   82.070631
 90.000000   79.427509
 90.000000   76.784386
 90.000000   74.141263
 90.000000   71.498140
 90.000000   68.855017
 90.000000   66.211894
 90.000000   63.568771
 90.000000   60.925649
267.213518   56.112303
264.728209   53.886105
262.496754   51.613800
260.479837   49.303250
258.644849   46.960759
256.964707   44.591422
255.416851   42.199390
253.982398   39.788072
252.645461   37.360293
251.392590   34.918413
250.212327   32.464419
249.094843   30.000000
248.031640   27.526601
247.015322   25.045473
246.039393   22.557706
245.098104   20.064259
244.186315   17.565984
243.299389   15.063649
242.433098   12.557948
241.583541   10.049521
240.747078    7.538963
239.920270    5.026835
239.099820    2.513674
272.786482   56.112303
275.271791   53.886105
277.503246   51.613800
279.520163   49.303250
281.355151   46.960759
283.035293   44.591422
284.583149   42.199390
286.017602   39.788072
287.354539   37.360293
288.607410   34.918413
289.787672   32.464419
290.905157   30.000000
291.968360   27.526601
292.984678   25.045473
293.960607   22.557706
294.901896   20.064259
295.813685   17.565984
296.700611   15.063649
297.566902   12.557948
298.416459   10.049521
299.252922    7.538963
300.079730    5.026835
300.900180    2.513674
265.113976   59.007827
260.046047   59.541950
254.846215   59.874637
249.574485   59.999131
244.296675   59.912826
239.079104   59.617533
233.983188   59.119294
229.060982   58.427794
224.352405   57.555496
219.884340   56.516666
215.671353   55.326433
211.717474   54.000000
208.018478   52.552051
204.564194   50.996353
201.340566   49.345531
198.331319   47.610976
195.519220   45.802844
192.886967   43.930116
190.417780   42.000691
188.095758   40.021494
185.906075   37.998585
183.835053   35.937273
181.870168   33.842208
274.886024   59.007827
279.953953   59.541950
285.153785   59.874637
290.425515   59.999131
295.703325   59.912826
300.920896   59.617533
306.016812   59.119294
310.939018   58.427794
315.647596   57.555496
320.115660   56.516666
324.328647   55.326433
328.282526   54.000000
331.981522   52.552051
335.435806   50.996353
338.659434   49.345531
341.668681   47.610976
344.480780   45.802844
347.113033   43.930116
349.582220   42.000691
351.904242   40.021494
354.093925   37.998585
356.164947   35.937273
358.129832   33.842208
270.000000  -60.925649
270.000000  -63.568771
270.000000  -66.211894
270.000000  -68.855017
270.000000  -71.498140
270.000000  -74.141263
270.000000  -76.784386
270.000000  -79.427509
270.000000  -82.070631
270.000000  -84.713754
270.000000  -87.356877
180.000000  -90.000000
 90.000000  -87.356877
 90.000000  -84.713754
 90.000000  -82.070631
 90.000000  -79.427509
 90.000000  -76.784386
 90.000000  -74.141263
 90.000000  -71.498140
 90.000000  -68.855017
 90.000000  -66.211894
 90.000000  -63.568771
 90.000000  -60.925649
267.213518  -56.112303
264.728209  -53.886105
262.496754  -51.613800
260.479837  -49.303250
258.644849  -46.960759
256.964707  -44.591422
255.416851  -42.199390
253.982398  -39.788072
252.645461  -37.360293
251.392590  -34.918413
250.212327  -32.464419
249.094843  -30.000000
248.031640  -27.526601
247.015322  -25.045473
246.039393  -22.557706
245.098104  -20.064259
244.186315  -17.565984
243.299389  -15.063649
242.433098  -12.557948
241.583541  -10.049521
240.747078   -7.538963
239.920270   -5.026835
239.099820   -2.513674
272.786482  -56.112303
275.271791  -53.886105
277.503246  -51.613800
279.520163  -49.303250
281.355151  -46.960759
283.035293  -44.591422
284.583149  -42.199390
286.017602  -39.788072
287.354539  -37.360293
288.607410  -34.918413
289.787672  -32.464419
290.905157  -30.000000
291.968360  -27.526601
292.984678  -25.045473
293.960607  -22.557706
294.901896  -20.064259
295.813685  -17.565984
296.700611  -15.063649
297.566902  -12.557948
298.416459  -10.049521
299.252922   -7.538963
300.079730   -5.026835
300.900180   -2.513674
265.113976  -59.007827
260.046047  -59.541950
254.846215  -59.874637
249.574485  -59.999131
244.296675  -59.912826
239.079104  -59.617533
233.983188  -59.119294
229.060982  -58.427794
224.352405  -57.555496
219.884340  -56.516666
215.671353  -55.326433
211.717474  -54.000000
208.018478  -52.552051
204.564194  -50.996353
201.340566  -49.345531
198.331319  -47.610976
195.519220  -45.802844
192.886967  -43.930116
190.417780  -42.000691
188.095758  -40.021494
185.906075  -37.998585
183.835053  -35.937273
