# Geodesic pattern 30 class 2 npts 27002 area_per_point= 1.528
# From geodesic_tiling_pattern_npts27002.txt
# As generated using instruction from http://www.mpe.mpg.de/~4most/4FS/geodesic_pattern_list.html
# Further instructions on generation are available at: https://github.com/SSantosLab/desgw-map/wiki/DECam-Tiling-for-HSC
# RA            DEC
270.000000   58.282500
270.000000  -58.282500
 90.000000   58.282500
 90.000000  -58.282500
238.283000    0.000000
121.717000    0.000000
301.717000    0.000000
 58.282500    0.000000
180.000000   31.717500
180.000000  -31.717500
360.000000   31.717500
360.000000  -31.717500
270.000000   60.397000
270.000000   62.511500
270.000000   64.626000
270.000000   66.740500
270.000000   68.855000
270.000000   70.969500
270.000000   73.084000
270.000000   75.198500
270.000000   77.313000
270.000000   79.427500
270.000000   81.542000
270.000000   83.656500
270.000000   85.771000
270.000000   87.885500
180.000000   90.000000
 90.000000   87.885500
 90.000000   85.771000
 90.000000   83.656500
 90.000000   81.542000
 90.000000   79.427500
 90.000000   77.313000
 90.000000   75.198500
 90.000000   73.084000
 90.000000   70.969500
 90.000000   68.855000
 90.000000   66.740500
 90.000000   64.626000
 90.000000   62.511500
 90.000000   60.397000
267.745000   56.551200
265.689000   54.782600
263.808000   52.982200
262.077000   51.154500
260.480000   49.303300
258.999000   47.431600
257.620000   45.542100
256.331000   43.637100
255.121000   41.718600
253.982000   39.788100
252.906000   37.847000
251.884000   35.896700
250.912000   33.938200
249.984000   31.972300
249.095000   30.000000
248.240000   28.021900
247.417000   26.038800
246.620000   24.051100
245.849000   22.059400
245.098000   20.064300
244.367000   18.066000
243.651000   16.065000
242.951000   14.061700
242.262000   12.056500
241.584000   10.049500
240.913000    8.041220
240.250000    6.031840
239.592000    4.021670
238.936000    2.010960
272.255000   56.551200
274.311000   54.782600
276.192000   52.982200
277.923000   51.154500
279.520000   49.303300
281.001000   47.431600
282.380000   45.542100
283.669000   43.637100
284.879000   41.718600
286.018000   39.788100
287.094000   37.847000
288.116000   35.896700
289.088000   33.938200
290.016000   31.972300
290.905000   30.000000
291.760000   28.021900
292.583000   26.038800
293.380000   24.051100
294.151000   22.059400
294.902000   20.064300
295.633000   18.066000
296.349000   16.065000
297.049000   14.061700
297.738000   12.056500
298.416000   10.049500
299.087000    8.041220
299.750000    6.031840
300.408000    4.021670
301.064000    2.010960
266.107000   58.877700
262.092000   59.352000
257.979000   59.699700
253.796000   59.916300
249.574000   59.999100
245.350000   59.946900
241.155000   59.760400
237.023000   59.442100
232.983000   58.996100
229.061000   58.427800
225.276000   57.743800
221.642000   56.951200
218.168000   56.057900
214.860000   55.071600
211.717000   54.000000
208.738000   52.850700
205.917000   51.630700
203.248000   50.346800
200.722000   49.005000
198.331000   47.611000
196.067000   46.169900
193.919000   44.686400
191.881000   43.164700
189.942000   41.608600
188.096000   40.021500
186.334000   38.406400
184.650000   36.766100
183.037000   35.103100
181.489000   33.419500
273.893000   58.877700
277.908000   59.352000
282.021000   59.699700
286.204000   59.916300
290.426000   59.999100
294.650000   59.946900
298.845000   59.760400
302.977000   59.442100
307.017000   58.996100
310.939000   58.427800
314.724000   57.743800
318.358000   56.951200
321.832000   56.057900
325.140000   55.071600
328.283000   54.000000
331.262000   52.850700
334.083000   51.630700
336.752000   50.346800
339.278000   49.005000
341.669000   47.611000
343.933000   46.169900
346.081000   44.686400
348.119000   43.164700
350.058000   41.608600
351.904000   40.021500
353.666000   38.406400
355.350000   36.766100
356.963000   35.103100
358.511000   33.419500
270.000000  -60.397000
270.000000  -62.511500
270.000000  -64.626000
270.000000  -66.740500
270.000000  -68.855000
270.000000  -70.969500
270.000000  -73.084000
270.000000  -75.198500
270.000000  -77.313000
270.000000  -79.427500
270.000000  -81.542000
270.000000  -83.656500
270.000000  -85.771000
270.000000  -87.885500
180.000000  -90.000000
 90.000000  -87.885500
 90.000000  -85.771000
 90.000000  -83.656500
 90.000000  -81.542000
 90.000000  -79.427500
 90.000000  -77.313000
 90.000000  -75.198500
 90.000000  -73.084000
 90.000000  -70.969500
 90.000000  -68.855000
 90.000000  -66.740500
 90.000000  -64.626000
 90.000000  -62.511500
 90.000000  -60.397000
267.745000  -56.551200
265.689000  -54.782600
263.808000  -52.982200
262.077000  -51.154500
260.480000  -49.303300
258.999000  -47.431600
257.620000  -45.542100
256.331000  -43.637100
255.121000  -41.718600
253.982000  -39.788100
252.906000  -37.847000
251.884000  -35.896700
250.912000  -33.938200
249.984000  -31.972300
249.095000  -30.000000
248.240000  -28.021900
247.417000  -26.038800
246.620000  -24.051100
245.849000  -22.059400
245.098000  -20.064300
244.367000  -18.066000
243.651000  -16.065000
242.951000  -14.061700
242.262000  -12.056500
241.584000  -10.049500
240.913000   -8.041220
240.250000   -6.031840
239.592000   -4.021670
238.936000   -2.010960
272.255000  -56.551200
274.311000  -54.782600
276.192000  -52.982200
277.923000  -51.154500
279.520000  -49.303300
281.001000  -47.431600
282.380000  -45.542100
283.669000  -43.637100
284.879000  -41.718600
286.018000  -39.788100
287.094000  -37.847000
288.116000  -35.896700
289.088000  -33.938200
290.016000  -31.972300
290.905000  -30.000000
291.760000  -28.021900
292.583000  -26.038800
293.380000  -24.051100
294.151000  -22.059400
294.902000  -20.064300
295.633000  -18.066000
296.349000  -16.065000
297.049000  -14.061700
297.738000  -12.056500
298.416000  -10.049500
299.087000   -8.041220
299.750000   -6.031840
300.408000   -4.021670
301.064000   -2.010960
266.107000  -58.877700
262.092000  -59.352000
257.979000  -59.699700
253.796000  -59.916300
249.574000  -59.999100
245.350000  -59.946900
241.155000  -59.760400
237.023000  -59.442100
232.983000  -58.996100
229.061000  -58.427800
225.276000  -57.743800
221.642000  -56.951200
218.168000  -56.057900
214.860000  -55.071600
211.717000  -54.000000
208.738000  -52.850700
205.917000  -51.630700
203.248000  -50.346800
200.722000  -49.005000
198.331000  -47.611000
196.067000  -46.169900
193.919000  -44.686400
191.881000  -43.164700
189.942000  -41.608600
188.096000  -40.021500
186.334000  -38.406400
184.650000  -36.766100
183.037000  -35.103100
181.489000  -33.419500
273.893000  -58.877700
277.908000  -59.352000
282.021000  -59.699700
286.204000  -59.916300
290.426000  -59.999100
294.650000  -59.946900
298.845000  -59.760400
302.977000  -59.442100
307.017000  -58.996100
310.939000  -58.427800
314.724000  -57.743800
318.358000  -56.951200
321.832000  -56.057900
325.140000  -55.071600
328.283000  -54.000000
331.262000  -52.850700
334.083000  -51.630700
336.752000  -50.346800
339.278000  -49.005000
341.669000  -47.611000
343.933000  -46.169900
346.081000  -44.686400
348.119000  -43.164700
350.058000  -41.608600
351.904000  -40.021500
353.666000  -38.406400
355.350000  -36.766100
356.963000  -35.103100
358.511000  -33.419500
 92.254900   56.551200
 94.310600   54.782600
 96.192500   52.982200
 97.922700   51.154500
 99.520200   49.303300
101.001000   47.431600
102.380000   45.542100
103.669000   43.637100
104.879000   41.718600
106.018000   39.788100
107.094000   37.847000
108.116000   35.896700
109.088000   33.938200
110.016000   31.972300
110.905000   30.000000
111.760000   28.021900
112.583000   26.038800
113.380000   24.051100
114.151000   22.059400
114.902000   20.064300
115.633000   18.066000
116.349000   16.065000
117.049000   14.061700
117.738000   12.056500
118.416000   10.049500
119.087000    8.041220
119.750000    6.031840
120.408000    4.021670
121.064000    2.010960
 87.745100   56.551200
 85.689400   54.782600
 83.807500   52.982200
 82.077300   51.154500
 80.479800   49.303300
 78.998700   47.431600
 77.619700   45.542100
 76.330800   43.637100
 75.121400   41.718600
 73.982400   39.788100
 72.905700   37.847000
 71.884400   35.896700
 70.912400   33.938200
 69.984100   31.972300
 69.094800   30.000000
 68.240300   28.021900
 67.416700   26.038800
 66.620400   24.051100
 65.848500   22.059400
 65.098100   20.064300
 64.366500   18.066000
 63.651500   16.065000
 62.950600   14.061700
